City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,saint-louis,16.3333,-15.0,312.86,19,100,2.51,SN,1686848838
258,daru,-9.0763,143.2092,298.53,81,100,6.81,PG,1686848838
259,murzuq,25.9155,13.9184,314.84,8,60,3.97,LY,1686848602
260,umba,66.6871,34.3429,286.89,43,19,5.42,RU,1686848838
261,wad az zaki,14.4619,32.2065,308.71,33,100,2.68,SD,1686848839
262,turan,16.0678,108.2208,302.14,79,20,1.54,VN,1686848839
263,cidreira,-30.1811,-50.2056,290.06,90,100,9.39,BR,1686848839
264,beau vallon,-20.4189,57.6953,297.71,78,28,6.06,MU,1686848840
265,suntar,62.1444,117.6319,280.69,61,34,3.05,RU,1686848840
266,charters towers,-20.1,146.2667,290.01,91,78,2.79,AU,1686848840
267,an nuhud,12.7,28.4333,304.26,44,71,5.74,SD,1686848840
268,kaa-khem,51.6833,94.7333,283.67,38,0,1.43,RU,1686848841
269,doma,8.3833,8.35,300.66,83,93,2.35,NG,1686848841
270,dudinka,69.4058,86.1778,280.52,82,100,3.01,RU,1686848841
271,inhambane,-23.865,35.3833,293.75,68,0,2.21,MZ,1686848842
272,beaufort west,-32.3567,22.583,284.13,59,7,5.9,ZA,1686848842
273,keflavik,64.0049,-22.5624,286.39,82,0,8.23,IS,1686848842
274,dickinson,29.4608,-95.0513,309.83,71,20,7.72,US,1686848842
275,kuanda,56.3161,116.0806,277.67,94,14,1.13,RU,1686848843
276,yuzhno-kurilsk,44.0306,145.8556,285.37,99,98,3.52,RU,1686848843
277,qarauyl,48.9451,79.255,286.54,39,2,3.43,KZ,1686848843
278,minas de marcona,-15.2119,-75.1103,291.8,56,14,5.27,PE,1686848843
279,quezon,7.7303,125.0989,295.58,96,84,0.43,PH,1686848843
280,bamboo flat,11.7,92.7167,300.6,84,99,4.74,IN,1686848844
281,nha trang,12.25,109.1833,302.15,84,100,1.66,VN,1686848844
282,ta`u,-14.2336,-169.5144,299.95,82,100,5.74,AS,1686848844
283,nadym,65.5333,72.5167,279.21,67,75,2.42,RU,1686848845
284,san antonio de pale,-1.4014,5.6325,298.09,82,76,6.53,GQ,1686848845
285,sfax,34.7406,10.7603,301.95,43,57,4.82,TN,1686848845
286,broken hill,-31.95,141.4333,282.23,63,0,4.16,AU,1686848845
287,erdenet,49.0333,104.0833,278.95,86,100,1.7,MN,1686848846
288,shasta lake,40.6804,-122.3708,299.55,27,78,1.79,US,1686848846
289,vila franca do campo,37.7167,-25.4333,294.38,79,66,5.18,PT,1686848846
290,ust'-barguzin,53.45,108.9833,277.14,87,5,1.42,RU,1686848846
291,eynesil,41.0645,39.1438,293.0,84,88,2.41,TR,1686848847
292,lewistown,40.5992,-77.5714,298.08,73,0,4.12,US,1686848847
293,san patricio,28.017,-97.5169,308.75,36,17,6.42,US,1686848847
294,mejit,10.2753,170.8646,300.73,81,79,9.64,MH,1686848848
295,hede,33.7681,120.2517,295.67,62,100,4.34,CN,1686848848
296,rakitnoye,50.8389,35.8515,289.67,91,87,4.23,RU,1686848849
297,byala slatina,43.4667,23.9333,292.7,92,100,2.27,BG,1686848849
298,alaghsas,17.0187,8.0168,312.33,16,27,2.52,NE,1686848849
299,hasaki,35.7333,140.8333,294.38,97,100,10.0,JP,1686848849
300,kerikeri,-35.2268,173.9474,281.99,94,100,0.93,NZ,1686848849
301,kaoma,-14.7833,24.8,292.06,18,12,1.66,ZM,1686848850
302,cadale,2.7603,46.3222,299.09,83,41,6.95,SO,1686848850
303,la ronge,55.1001,-105.2842,290.29,67,75,5.66,CA,1686848560
304,kavaratti,10.5669,72.642,302.65,76,99,6.62,IN,1686848850
305,ninghai,29.2892,121.4247,294.46,89,100,0.65,CN,1686848851
306,saynshand,44.8824,110.1163,300.94,15,12,3.84,MN,1686848851
307,port lincoln,-34.7333,135.8667,286.54,64,0,7.83,AU,1686848851
308,de aar,-30.6497,24.0123,281.88,88,70,8.45,ZA,1686848851
309,kangayam,11.0,77.5667,300.08,73,69,9.42,IN,1686848852
310,buala,-8.145,159.5921,299.53,83,100,0.9,SB,1686848852
311,esquel,-42.9,-71.3167,276.81,94,100,0.58,AR,1686848852
312,vadso,70.0744,29.7487,282.64,49,75,8.75,NO,1686848852
313,caorle,45.5966,12.8758,300.94,64,8,2.54,IT,1686848853
314,zhuanghe,39.7008,122.9911,291.48,80,39,1.57,CN,1686848853
315,shingu,33.7333,135.9833,292.0,91,45,2.89,JP,1686848853
316,ain sefra,32.75,-0.5833,305.51,17,7,4.87,DZ,1686848853
317,selfoss,63.9331,-20.9971,288.17,78,98,2.72,IS,1686848854
318,turpan,42.9333,89.1667,306.55,21,93,2.84,CN,1686848854
319,solnechnyy,50.7214,136.6319,284.87,81,83,0.89,RU,1686848854
320,touros,-5.1989,-35.4608,302.18,65,24,5.45,BR,1686848855
321,bealanana,-14.55,48.7333,287.88,86,17,0.85,MG,1686848855
322,namibe,-15.1961,12.1522,293.11,76,1,3.15,AO,1686848613
323,statesboro,32.4488,-81.7832,293.03,88,75,3.6,US,1686848407
324,cabo san lucas,22.8909,-109.9124,308.76,35,0,2.06,MX,1686848743
325,kabalo,-6.05,26.9167,300.56,32,10,1.8,CD,1686848856
326,toyooka,35.5333,134.8333,290.82,96,100,2.23,JP,1686848856
327,laojunmiao,39.8333,97.7333,294.71,17,97,2.82,CN,1686848856
328,kulhudhuffushi,6.6221,73.07,301.96,75,74,6.27,MV,1686848857
329,mumford,5.2618,-0.759,300.07,74,66,6.22,GH,1686848857
330,malpica,43.3228,-8.8105,299.24,56,9,2.4,ES,1686848857
331,cabrero,-37.0333,-72.4,289.12,62,21,3.0,CL,1686848857
332,whakatane,-37.9585,176.9854,279.69,97,92,1.91,NZ,1686848632
333,kodinsk,58.6881,99.1844,287.23,58,100,5.05,RU,1686848858
334,al bardiyah,31.7561,25.0865,297.98,62,2,7.16,LY,1686848858
335,kayangel,8.0823,134.7173,301.53,71,100,0.82,PW,1686848858
336,kedrovyy,56.1667,91.8167,286.38,71,52,3.14,RU,1686848858
337,pointe-noire,-4.7761,11.8635,296.2,84,90,3.37,CG,1686848859
338,mount isa,-20.7333,139.5,279.02,56,62,0.0,AU,1686848859
339,aripuana,-9.1667,-60.6333,301.58,43,9,1.54,BR,1686848859
340,berezovyy,51.6667,135.7,282.0,95,4,1.35,RU,1686848859
341,tralee,52.2704,-9.7026,293.29,77,20,2.57,IE,1686848860
342,miles city,46.4083,-105.8406,292.69,39,100,5.66,US,1686848699
343,tolna,46.4268,18.7825,292.87,71,100,2.81,HU,1686848860
344,port moresby,-9.4431,147.1797,297.22,89,84,5.97,PG,1686848860
345,freetown,8.484,-13.2299,300.45,78,97,4.23,SL,1686848861
346,leava,-14.3,-178.1667,300.43,81,96,4.33,WF,1686848861
347,vernon,50.2581,-119.2691,292.76,53,39,2.24,CA,1686848861
348,andergrove,-21.0833,149.1833,291.84,77,69,1.5,AU,1686848862
349,deqen,29.9618,90.7188,283.2,82,82,2.08,CN,1686848862
350,zabid,14.1951,43.3152,307.35,46,81,5.84,YE,1686848862
351,sittwe,20.15,92.9,301.26,88,64,5.47,MM,1686848863
